Term,Coefficient,Std. Error,t-Stat,P-Value
dp_tightening,20.455474411511926,1.6401751356173877,12.471518417337892,0.0
dp_delta_ffr,-0.389477113961276,0.03038195126778281,-12.819358129057354,0.0
dp_delta_ffr_tight,0.24364978574453428,0.044397657129914135,5.487897368808873,4.070322834337503e-08
lag_log_assets,-1.0763217824670497,1.102911245180331,-0.9758915662257721,0.32911888878803675
lag_deposit_ratio,0.7323061464870785,6.611070408087362,0.11076967892994212,0.9117990547360832
Observations,351460,,,
Banks,7692,,,
Time periods,62,,,
R2 (within),0.00042412688309390045,,,
Bank FE,Yes,,,
Time FE,Yes,,,
SE clustered by bank,Yes,,,
