Term,Coefficient,Std. Error,t-Stat,P-Value
dp_delta_ffr_pos,0.04463709612504986,0.02712960476221154,1.6453279182018998,0.09990311990740763
dp_delta_ffr_neg,-0.328446522217503,0.028231237257767536,-11.634152595530834,0.0
lag_log_assets,-1.0819937779995572,1.1039427403884534,-0.9801176622791388,0.32702873154739587
lag_deposit_ratio,0.9943160619331435,6.613036604255912,0.15035695724007297,0.8804830865292308
Observations,351460,,,
Banks,7692,,,
Time periods,62,,,
R2 (within),0.0004221268998298999,,,
Bank FE,Yes,,,
Time FE,Yes,,,
SE clustered by bank,Yes,,,
